Name,Address,City,State,Workers,Local,District,Contract
"280 Butler Commons, Butler, PA",280 Butler Commons,Butler,PA,99,3902,3,Maroon
"931 Bethlehem Pike, Montgomeryville, PA",931 Bethlehem Pike,Montgomeryville,PA,69,9109,9,Mauv
"1665 State Hill Rd, Wyomissing, PA",1665 State Hill Rd,Wyomissing,PA,93,4821,3,Yellow
"500 Galleria Dr, Johnstown, PA",500 Galleria Dr,Johnstown,PA,41,1523,9,Turquoise
"2899 Whiteford Rd, York, PA",2899 Whiteford Rd,York,PA,69,8296,3,Crimson
"2300 East Lincoln Highway, Langhorne, PA",2300 East Lincoln Highway,Langhorne,PA,51,4039,1,Mauv
"173a Levittown Parkway, Levittown, PA",173a Levittown Parkway,Levittown,PA,72,9361,9,Khaki
"101 Wilson Avenue Ste A, Hanover, PA",101 Wilson Avenue Ste A,Hanover,PA,54,799,4,Goldenrod
"2420 Cumberland Street, Lebanon, PA",2420 Cumberland Street,Lebanon,PA,62,9360,7,Aquamarine
"2533 West State Street, New Castle, PA",2533 West State Street,New Castle,PA,92,7578,3,Yellow
"3758 Dryland Way, Easton, PA",3758 Dryland Way,Easton,PA,79,4573,9,Teal
"301 W Chelten Avenue, Philadelphia, PA",301 W Chelten Avenue,Philadelphia,PA,16,6869,5,Crimson
"19045 Park Avenue Plaza, Meadville, PA",19045 Park Avenue Plaza,Meadville,PA,56,2629,4,Indigo
"950 Madison Ave, Norristown, PA",950 Madison Ave,Norristown,PA,6,8120,7,Mauv
"500 S 27th St, Philadelphia, PA",500 S 27th St,Philadelphia,PA,74,7596,2,Turquoise
"809 Scranton Carbondale Hwy, Scranton, PA",809 Scranton Carbondale Hwy,Scranton,PA,32,5797,9,Violet
"117 Park City, Lancaster, PA",117 Park City,Lancaster,PA,33,419,5,Blue
"586 Susquehanna Boulevard, Hazleton, PA",586 Susquehanna Boulevard,Hazleton,PA,6,175,7,Purple
"3584 Aramingo Ave, Philadelphia, PA",3584 Aramingo Ave,Philadelphia,PA,11,6460,2,Maroon
"6807 Peach Street, Erie, PA",6807 Peach Street,Erie,PA,61,1182,4,Purple
"778 West Sproul Road, Springfield, PA",778 West Sproul Road,Springfield,PA,52,3350,5,Orange
"2733 Paper Mills Rd, Reading, PA",2733 Paper Mills Rd,Reading,PA,66,5817,8,Yellow
"1725 North Atherton Street, State College, PA",1725 North Atherton Street,State College,PA,73,3546,4,Turquoise
"4920 Jonestown Road, Harrisburg, PA",4920 Jonestown Road,Harrisburg,PA,14,4517,1,Pink
"325 Washington Rd, Washington, PA",325 Washington Rd,Washington,PA,5,9871,4,Goldenrod
"240 Waterfront Dr E, Homestead, PA",240 Waterfront Dr E,Homestead,PA,66,569,9,Maroon
"1501 Walnut Street, Philadelphia, PA",1501 Walnut Street,Philadelphia,PA,9,2897,2,Puce
"620 West Dekalb Pike, King Of Prussia, PA",620 West Dekalb Pike,King Of Prussia,PA,69,5665,4,Crimson
"1108 Town Square Rd., Pottstown, PA",1108 Town Square Rd.,Pottstown,PA,59,9643,3,Teal
"485 Lasley Ave, Hanover Township, PA",485 Lasley Ave,Hanover Township,PA,99,2288,2,Yellow
"241 Exton Square Pkwy, Exton, PA",241 Exton Square Pkwy,Exton,PA,66,5973,5,Yellow
"132 Christiana Mall, Space1740, Newark, DE",132 Christiana Mall,Newark,DE,94,508,7,Mauv
"5608 Concord Pike, Wilmington, DE",5608 Concord Pike,Wilmington,DE,48,1128,2,Indigo
"19354 Unit A Miller Rd, Rehoboth Beach, DE",19354 Unit A Miller Rd,Rehoboth Beach,DE,81,4099,7,Mauv
"3601 Concord Pike, Wilmington, DE",3601 Concord Pike,Wilmington,DE,79,6864,1,Green
"65 Southgate Blvd, New Castle, DE",65 Southgate Blvd,New Castle,DE,54,8807,3,Maroon
"4603 Kirkwood Highway, Wilmington, DE",4603 Kirkwood Highway,Wilmington,DE,87,419,2,Turquoise
"275 North Dupont Highway, Dover, DE",275 North Dupont Highway,Dover,DE,56,6346,1,Puce
"4025 West Tilghman Street Un 3, Allentown, PA",4025 West Tilghman Street Un 3,Allentown,PA,26,881,5,Orange
"3588 Capital City Mall Dr., Camp Hill, PA",3588 Capital City Mall Dr.,Camp Hill,PA,82,9439,3,Purple
"4030 William Penn Hwy, Monroeville, PA",4030 William Penn Hwy,Monroeville,PA,39,7667,6,Green
"1115 West Chester Pike, West Chester, PA",1115 West Chester Pike,West Chester,PA,96,1485,3,Teal
"2550 Interstate Dr, Harrisburg, PA",2550 Interstate Dr,Harrisburg,PA,75,2964,3,Goldenrod
"3225 Pleasant Valley Blvd, Altoona, PA",3225 Pleasant Valley Blvd,Altoona,PA,28,5816,5,Pink
"277 Mundy Street, Wilkes Barre, PA",277 Mundy Street,Wilkes Barre,PA,27,2640,8,Indigo
"60 West Ave, Wayne, PA",60 West Ave,Wayne,PA,79,80,1,Indigo
"474 Holiday Drive, Suite 300, Rutland, VT",474 Holiday Drive,Rutland,VT,16,3441,9,Goldenrod
"99 Rockingham Park Blvd. W101, Salem, NH",99 Rockingham Park Blvd. W101,Salem,NH,48,4872,6,Khaki
"344 Dorset Street, South Burlington, VT",344 Dorset Street,South Burlington,VT,23,7122,6,Aquamarine
"310 Daniel Webster Hwy, Nashua, NH",310 Daniel Webster Hwy,Nashua,NH,72,6411,4,Green
"296 Daniel Webster Highway, Nashua, NH",296 Daniel Webster Highway,Nashua,NH,18,4185,8,Blue
"35 Scammon St, Saco, ME",35 Scammon St,Saco,ME,7,3631,6,Violet
"1500 S. Willow St, Manchester, NH",1500 S. Willow St,Manchester,NH,46,759,9,Maroon
"364 Maine Mall Rd, South Portland, ME",364 Maine Mall Rd,South Portland,ME,78,623,9,Fuscia
"1981 Woodbury Ave, Portsmouth, NH",1981 Woodbury Ave,Portsmouth,NH,72,8723,9,Aquamarine
"250 Albany Turnpike, Suite 1, Canton, CT",250 Albany Turnpike,Canton,CT,68,7216,1,Puce
"834 Walt Whitman Road, Ste A, Melville, NY",834 Walt Whitman Road,Melville,NY,89,4715,9,Mauv
"3455 Erie Blvd East, Ste 1, Dewitt, NY",3455 Erie Blvd East,Dewitt,NY,31,6479,1,Aquamarine
"350 Fifth Avenue, Suite 114, New York, NY",350 Fifth Avenue,New York,NY,61,6971,1,Yellow
"185 Greenwich Street, Ll5100, New York, NY",185 Greenwich Street,New York,NY,46,6349,4,Violet
"31 Water Street, Ste 2, Cuba, NY",31 Water Street,Cuba,NY,56,245,1,Orange
"413 Lynnway, Lynn, MA",413 Lynnway,Lynn,MA,6,4966,1,Violet
"65r Boston Street, Dorchester, MA",65r Boston Street,Dorchester,MA,46,938,5,Pink
"78 Brooksiide Ave, Chester, NY",78 Brooksiide Ave,Chester,NY,30,4108,1,Mauv
"750 Sunrise Highway, Valley Stream, NY",750 Sunrise Highway,Valley Stream,NY,52,3420,4,Violet
"89 Seaport Blvd, Boston, MA",89 Seaport Blvd,Boston,MA,79,6139,2,Puce
"2168-b White Plains Rd, Bronx, NY",2168-b White Plains Rd,Bronx,NY,77,8042,2,Crimson
"45 Wall Street, New York, NY",45 Wall Street,New York,NY,86,8060,7,Aquamarine
"239 Old Country Road, Carle Place, NY",239 Old Country Road,Carle Place,NY,100,1531,6,Goldenrod
"1215 Hurffville Road, Deptford, NJ",1215 Hurffville Road,Deptford,NJ,75,974,2,Maroon
"61 Spit Brook Rd, Nashua, NH",61 Spit Brook Rd,Nashua,NH,76,5052,1,Blue
"811 10th Ave, New York, NY",811 10th Ave,New York,NY,77,8254,2,Violet
"180 8th Ave, New York, NY",180 8th Ave,New York,NY,81,7785,5,Red
"8200 Perry Hall Blvd., Westboro, MA",8200 Perry Hall Blvd.,Westboro,MA,79,1335,2,Indigo
"2801 Mountaineer Drive, South Charleston, WV",2801 Mountaineer Drive,South Charleston,WV,76,7040,2,Fuscia
"3000 Charleston Town Center, Charleston, WV",3000 Charleston Town Center,Charleston,WV,85,7371,5,Khaki
"73 Great Teays Blvd, Scott Depot, WV",73 Great Teays Blvd,Scott Depot,WV,16,1919,6,Yellow
"9909 Mall Road Space 909, Morgantown, WV",9909 Mall Road Space 909,Morgantown,WV,78,2497,8,Blue
"1111 Van Voorhis Road, Morgantown, WV",1111 Van Voorhis Road,Morgantown,WV,74,1645,9,Puce
"117a Three Springs Drive, Weirton, WV",117a Three Springs Drive,Weirton,WV,23,7561,2,Purple
"300 Wharton Cir, Triadelphia, WV",300 Wharton Cir,Triadelphia,WV,52,6827,2,Crimson
"1008 N Eisenhower Dr-ste 1008, Beckley, WV",1008 N Eisenhower Dr-ste 1008,Beckley,WV,83,1774,6,Goldenrod
"80 Grace Dr, Hurricane, WV",80 Grace Dr,Hurricane,WV,2,4562,2,Mauv
"500 Mall Road, Barboursville, WV",500 Mall Road,Barboursville,WV,36,103,9,Orange
"2203 5th Street Rd, Huntington, WV",2203 5th Street Rd,Huntington,WV,88,4400,8,Pink
"3417 Murdoch Ave, Parkersburg, WV",3417 Murdoch Ave,Parkersburg,WV,21,140,6,Green
"2364 Benedict Rd, Culloden, WV",2364 Benedict Rd,Culloden,WV,98,378,3,Indigo
"542 Emily Drive, Clarksburg, WV",542 Emily Drive,Clarksburg,WV,87,682,3,Khaki
"2401 W Grace St, Chicago, IL",2401 W Grace St,Chicago,IL,10,4944,1,Green
"14700 Baltimore Ave, Suite 110, Laurel, MD",14700 Baltimore Ave,Laurel,MD,35,3458,6,Orange
"1803 York Road, Ste 101, Lutherville, MD",1803 York Road,Lutherville,MD,49,3396,7,Goldenrod
"1061 Annapolis Mall, Space 184, Annapolis, MD",1061 Annapolis Mall,Annapolis,MD,79,4851,6,Mauv
"8519 Georgia Ave., Silver Spring, MD",8519 Georgia Ave.,Silver Spring,MD,26,94,7,Teal
"10201 Martin Luther Kingjr Hwy, Bowie, MD",10201 Martin Luther Kingjr Hwy,Bowie,MD,48,4041,8,Blue
"6820 Virginia Manor Rd, Beltsville, MD",6820 Virginia Manor Rd,Beltsville,MD,54,7118,9,Mauv
"20934 B1c Frederick Road, Germantown, MD",20934 B1c Frederick Road,Germantown,MD,44,6484,7,Green
"538 N Fredrick Ave, Gaithersburg, MD",538 N Fredrick Ave,Gaithersburg,MD,79,5567,6,Teal
"9000 Mendenhall Ct, Columbia, MD",9000 Mendenhall Ct,Columbia,MD,17,7973,2,Goldenrod
"1809 Reisterstown Rd, Pikesville, MD",1809 Reisterstown Rd,Pikesville,MD,78,1166,5,Yellow
"105 West Ruark Drive, Salisbury, MD",105 West Ruark Drive,Salisbury,MD,4,615,9,Red
"825 Dulaney Valley Rd, Towson, MD",825 Dulaney Valley Rd,Towson,MD,34,7439,3,Purple
"220 Harker Place, Annapolis, MD",220 Harker Place,Annapolis,MD,71,5853,1,Orange
"1262 Vocke Rd., Lavale, MD",1262 Vocke Rd.,Lavale,MD,30,4237,4,Maroon
"8200 Perry Hall Blvd, Baltimore, MD",8200 Perry Hall Blvd,Baltimore,MD,100,8374,1,Turquoise
"10729 Colesville Road, Silver Spring, MD",10729 Colesville Road,Silver Spring,MD,85,858,5,Khaki
"12023 Rockville Pike, Rockville, MD",12023 Rockville Pike,Rockville,MD,88,286,6,Purple
"10300 Little Patuxent Pkwy 310, Columbia, MD",10300 Little Patuxent Pkwy 310,Columbia,MD,90,4812,6,Indigo
"3650 Crain Hwy, Waldorf, MD",3650 Crain Hwy,Waldorf,MD,80,4644,7,Red
"7101 Democracy Blvd. Spc 2166, Bethesda, MD",7101 Democracy Blvd. Spc 2166,Bethesda,MD,65,1000,7,Fuscia
"3921 Town Center Blvd, Bowie, MD",3921 Town Center Blvd,Bowie,MD,100,6173,4,Blue
"404 George Clauss Blvd, Severn, MD",404 George Clauss Blvd,Severn,MD,82,3303,6,Crimson
"5509 Urbana Pike, Frederick, MD",5509 Urbana Pike,Frederick,MD,64,9094,4,Khaki
"6490 Dobbin Center Way, Columbia, MD",6490 Dobbin Center Way,Columbia,MD,79,5463,9,Green
"17301 Valley Mall Rd #488, Hagerstown, MD",17301 Valley Mall Rd #488,Hagerstown,MD,72,815,6,Fuscia
"7150 Standard Dr, Hanover, MD",7150 Standard Dr,Hanover,MD,50,1122,9,Pink
"571 Baltimore Pike, Bel Air, MD",571 Baltimore Pike,Bel Air,MD,63,1080,6,Puce
"7491 Greenbelt Rd., Greenbelt, MD",7491 Greenbelt Rd.,Greenbelt,MD,8,6831,2,Yellow
"1501 Sentinel Drive, Ste 417, Chesapeake, VA",1501 Sentinel Drive,Chesapeake,VA,57,1295,3,Violet
"973 Emmet St., Suite C, Charlottesville, VA",973 Emmet St.,Charlottesville,VA,21,9909,2,Crimson
"723 Southpark Blvd, Colonial Heights, VA",723 Southpark Blvd,Colonial Heights,VA,70,5682,9,Puce
"11563 & 11565 West Broad St, Richmond, VA",11563 & 11565 West Broad St,Richmond,VA,18,4659,7,Fuscia
"1194 Azalea Garden Rd, Norfolk, VA",1194 Azalea Garden Rd,Norfolk,VA,73,9573,7,Purple
"1601 Carl D. Silver Parkway, Fredericksburg, VA",1601 Carl D. Silver Parkway,Fredericksburg,VA,81,9632,7,Pink
"1117 Jefferson Davis Hwy, Fredericksburg, VA",1117 Jefferson Davis Hwy,Fredericksburg,VA,50,9793,7,Green
"11649 Midlothian Turnpike, Midlothian, VA",11649 Midlothian Turnpike,Midlothian,VA,38,4237,2,Yellow
"1412 Greenbrier Parkway, Chesapeake, VA",1412 Greenbrier Parkway,Chesapeake,VA,39,4581,4,Orange
"4801 Cox Rd, Glen Allen, VA",4801 Cox Rd,Glen Allen,VA,20,2024,3,Aquamarine
"15505 Westchester Commons Way, Midlothian, VA",15505 Westchester Commons Way,Midlothian,VA,69,4669,1,Yellow
"9909 Southpoint Parkway, Fredericksburg, VA",9909 Southpoint Parkway,Fredericksburg,VA,66,9164,3,Turquoise
"1119 N Military Hwy Ste 200, Norfolk, VA",1119 N Military Hwy Ste 200,Norfolk,VA,9,1918,3,Mauv
"3955 Deep Rock Rd, Richmond, VA",3955 Deep Rock Rd,Richmond,VA,74,5161,2,Puce
"703 E Grace St, Richmond, VA",703 E Grace St,Richmond,VA,43,3426,3,Khaki
"4501 South Laburnum Ave, Richmond, VA",4501 South Laburnum Ave,Richmond,VA,62,6141,4,Turquoise
"4725 Virginia Beach Blvd Bld C, Virginia Beach, VA",4725 Virginia Beach Blvd Bld C,Virginia Beach,VA,97,7905,7,Goldenrod
"165 Holt Garrison Pkwy, Danville, VA",165 Holt Garrison Pkwy,Danville,VA,64,8177,2,Khaki
"978 Regional Park Rd, Lebanon, VA",978 Regional Park Rd,Lebanon,VA,22,7124,8,Purple
"3191 Lee Hwy, Bristol, VA",3191 Lee Hwy,Bristol,VA,84,5126,5,Khaki
"1936 Blue Hills Dr NE, Roanoke, VA",1936 Blue Hills Dr NE,Roanoke,VA,52,5612,7,Goldenrod
"12080 Jefferson Ave., Suite 91, Newport News, VA",12080 Jefferson Ave.,Newport News,VA,47,254,6,Blue
"2170 Coliseum Drive, Hampton, VA",2170 Coliseum Drive,Hampton,VA,85,5609,1,Red
"1604 Village Mkt Blvd Se, 100, Leesburg, VA",1604 Village Mkt Blvd Se,Leesburg,VA,97,1291,8,Violet
"8005-l Tyson's Corner Center, Mclean, VA",8005-l Tyson's Corner Center,Mclean,VA,46,4185,9,Yellow
"22000 Dulles Retail Plaza, Dulles, VA",22000 Dulles Retail Plaza,Dulles,VA,53,2762,2,Goldenrod
"3725 Jefferson Davis Hwy, Alexandria, VA",3725 Jefferson Davis Hwy,Alexandria,VA,49,281,3,Turquoise
"14900 Potomac Town Place, Woodbridge, VA",14900 Potomac Town Place,Woodbridge,VA,51,9890,5,Turquoise
"5831 Crossroads Center, Falls Church, VA",5831 Crossroads Center,Falls Church,VA,56,2463,8,Teal
"11425 Isaac Newton Sq S, Reston, VA",11425 Isaac Newton Sq S,Reston,VA,24,4279,9,Orange
"3000 Wilson Blvd Ste 100, Arlington, VA",3000 Wilson Blvd Ste 100,Arlington,VA,37,4058,9,Turquoise
"2700 Potomac Mills Circle, Woodbridge, VA",2700 Potomac Mills Circle,Woodbridge,VA,65,5121,8,Orange
"1100 S Hayes St Spc W04b, Arlington, VA",1100 S Hayes St Spc W04b,Arlington,VA,71,3040,5,Teal
"11794 Fair Oaks, Fairfax, VA",11794 Fair Oaks,Fairfax,VA,8,4659,4,Red
"1400 Defense Pentagon Rm 2c115, Arlington, VA",1400 Defense Pentagon Rm 2c115,Arlington,VA,23,944,4,Fuscia
"3165 Duke St., Alexandria, VA",3165 Duke St.,Alexandria,VA,4,5409,2,Goldenrod
"7702g Richmond Highway, Alexandria, VA",7702g Richmond Highway,Alexandria,VA,11,3383,7,Violet
"2148 S. Pleasant Valley Road, Winchester, VA",2148 S. Pleasant Valley Road,Winchester,VA,81,6169,8,Violet
"11015 Main Street, Fairfax, VA",11015 Main Street,Fairfax,VA,7,2909,4,Maroon
"6699 Frontier Dr, Springfield, VA",6699 Frontier Dr,Springfield,VA,73,4109,9,Goldenrod
"5301 Wisconsin Ave NW, Washington, DC",5301 Wisconsin Ave NW,Washington,DC,17,2755,3,Orange
"1518 Connecticut, Washington, DC",1518 Connecticut,Washington,DC,5,9324,5,Orange
"785 7th Street NW, Washington, DC",785 7th Street NW,Washington,DC,75,8104,2,Crimson
"1050 Connecticut Ave NW, Washington, DC",1050 Connecticut Ave NW,Washington,DC,31,6250,7,Pink
"7125 Columbia Gateway Dr, Columbia, MD",7125 Columbia Gateway Dr,Columbia,MD,68,1573,9,Goldenrod
"800 Fleet Street, Baltimore, MD",800 Fleet Street,Baltimore,MD,32,6289,1,Indigo
"Carretera 8860 Km 0.4 Matienz, Trujillo Alto, PR",Carretera 8860 Km 0.4 Matienz,Trujillo Alto,PR,48,3996,3,Pink
"273 Ave Ponce De Leon, San Juan, PR",273 Ave Ponce De Leon,San Juan,PR,65,7086,7,Pink
"800 E Merritt Island Causeway, Merritt Island, FL",800 E Merritt Island Causeway,Merritt Island,FL,52,5855,3,Violet
"4345 Norfolk Parkway, West Melbourne, FL",4345 Norfolk Parkway,West Melbourne,FL,73,1332,9,Mauv
"3065 Columbia Blvd., Titusville, FL",3065 Columbia Blvd.,Titusville,FL,73,1423,9,Aquamarine
"4450 W Eau Gallie Blvd Ste 126, Melbourne, FL",4450 W Eau Gallie Blvd Ste 126,Melbourne,FL,55,4383,9,Red
"2620 Enterprise Road, Orange City, FL",2620 Enterprise Road,Orange City,FL,41,3279,8,Turquoise
"1657 W.p. Ball Blvd, Sanford, FL",1657 W.p. Ball Blvd,Sanford,FL,61,9142,1,Green
"1808 Intl Speedway Blvd Ste801, Daytona Beach, FL",1808 Intl Speedway Blvd Ste801,Daytona Beach,FL,53,4442,1,Red
"5180 Sr East, Palm Coast, FL",5180 Sr East,Palm Coast,FL,2,6226,1,Red
"8085 Red Bug Lake Rd Ste.125, Oviedo, FL",8085 Red Bug Lake Rd Ste.125,Oviedo,FL,16,7954,7,Mauv
"5527 Williamson Blvd, Port Orange, FL",5527 Williamson Blvd,Port Orange,FL,28,4490,8,Indigo
"4240 N State Road 7, Coral Springs, FL",4240 N State Road 7,Coral Springs,FL,24,9986,6,Teal
"1920 S University Dr, Davie, FL",1920 S University Dr,Davie,FL,71,724,1,Fuscia
"9924 Glades Rd., Boca Raton, FL",9924 Glades Rd.,Boca Raton,FL,52,3210,4,Goldenrod
"2204 University Drive, Coral Springs, FL",2204 University Drive,Coral Springs,FL,87,1008,4,Khaki
"6000 Glades Rd Ste 1122, Boca Raton, FL",6000 Glades Rd Ste 1122,Boca Raton,FL,60,7384,9,Goldenrod
"530 North Federal Highway, Fort Lauderdale, FL",530 North Federal Highway,Fort Lauderdale,FL,16,8148,2,Khaki
"6311 North Andrews Avenue, Fort Lauderdale, FL",6311 North Andrews Avenue,Fort Lauderdale,FL,98,6754,3,Yellow
"8650 W Oakland Park Blvd, Sunrise, FL",8650 W Oakland Park Blvd,Sunrise,FL,39,9681,6,Teal
"12231 W Sunrise Blvd, Plantation, FL",12231 W Sunrise Blvd,Plantation,FL,69,8205,9,Violet
"1165 N Federal Hwy, Fort Lauderdale, FL",1165 N Federal Hwy,Fort Lauderdale,FL,57,3256,3,Khaki
"1879 Commercial Way, Spring Hill, FL",1879 Commercial Way,Spring Hill,FL,16,5843,1,Teal
"3626 SW Archer Rd, Gainesville, FL",3626 SW Archer Rd,Gainesville,FL,53,587,6,Puce
"6110 NW 4th Pl, Gainesville, FL",6110 NW 4th Pl,Gainesville,FL,100,9797,6,Goldenrod
"11113 San Jose Blvd,suite 102, Jacksonville, FL",11113 San Jose Blvd,Jacksonville,FL,75,892,1,Goldenrod
"4663 River City Dr., Jacksonville, FL",4663 River City Dr.,Jacksonville,FL,79,6339,8,Red
"9498 Atlantic Blvd, Jacksonville, FL",9498 Atlantic Blvd,Jacksonville,FL,11,6707,9,Green
"725 Nautica Drive, Jacksonville, FL",725 Nautica Drive,Jacksonville,FL,14,5746,1,Yellow
"9508 Crosshill Blvd, Jacksonville, FL",9508 Crosshill Blvd,Jacksonville,FL,60,1029,6,Blue
"256 State Road 312, Saint Augustine, FL",256 State Road 312,Saint Augustine,FL,100,9591,4,Khaki
"9039 Southside Blvd, Jacksonville, FL",9039 Southside Blvd,Jacksonville,FL,93,9988,8,Yellow
"10500 Ulmerton Rd., Unit 640, Largo, FL",10500 Ulmerton Rd.,Largo,FL,72,9372,6,Khaki
"2305 Edgewater Drive, Unit E, Orlando, FL",2305 Edgewater Drive,Orlando,FL,43,573,8,Goldenrod
"2499 Tamiami Trail, Port Charlotte, FL",2499 Tamiami Trail,Port Charlotte,FL,18,1389,1,Turquoise
"3107 Daniels Rd, Winter Garden, FL",3107 Daniels Rd,Winter Garden,FL,54,2494,3,Turquoise
"1313 Cortez Rd W #35, Bradenton, FL",1313 Cortez Rd W #35,Bradenton,FL,15,8114,2,Fuscia
"7727 S Orange Blossom Trl, Orlando, FL",7727 S Orange Blossom Trl,Orlando,FL,80,6315,8,Green
"2300 Bee Ridge Rd, Sarasota, FL",2300 Bee Ridge Rd,Sarasota,FL,42,2888,7,Teal
"13555 Tamiami Trail North, Naples, FL",13555 Tamiami Trail North,Naples,FL,23,5638,9,Blue
"4736 S Kirkman Rd Ste D, Orlando, FL",4736 S Kirkman Rd Ste D,Orlando,FL,84,9920,7,Aquamarine
"10945 Causeway Blvd., Brandon, FL",10945 Causeway Blvd.,Brandon,FL,4,3621,5,Indigo
"1770 Bruce B Downs Blvd., Wesley Chapel, FL",1770 Bruce B Downs Blvd.,Wesley Chapel,FL,11,5302,5,Teal
"4006 Conroy Rd, Orlando, FL",4006 Conroy Rd,Orlando,FL,61,6841,4,Khaki
"12150 Research Pkwy, Orlando, FL",12150 Research Pkwy,Orlando,FL,92,4553,6,Maroon
"10165 W Colonial Drive, Ocoee, FL",10165 W Colonial Drive,Ocoee,FL,86,6873,9,Khaki
"2460 State Road 580, Clearwater, FL",2460 State Road 580,Clearwater,FL,67,3289,5,Green
"4100 South Tamiami Trail, Venice, FL",4100 South Tamiami Trail,Venice,FL,19,4688,8,Purple
"8041 Dani Dr, Fort Myers, FL",8041 Dani Dr,Fort Myers,FL,44,5116,8,Teal
"7051 Narcoossee Road, Orlando, FL",7051 Narcoossee Road,Orlando,FL,25,6339,5,Green
"4313 E. Colonial Drive, Orlando, FL",4313 E. Colonial Drive,Orlando,FL,12,5345,2,Crimson
"1860 Pine Island Rd NE, Cape Coral, FL",1860 Pine Island Rd NE,Cape Coral,FL,17,3809,3,Fuscia
"215 N. Cattlemen Rd #53, Sarasota, FL",215 N. Cattlemen Rd #53,Sarasota,FL,38,148,2,Mauv
"3396 E Vista Blvd, Orlando, FL",3396 E Vista Blvd,Orlando,FL,14,9760,9,Indigo
"275 E Altamonte Drive, Altamonte Springs, FL",275 E Altamonte Drive,Altamonte Springs,FL,67,6204,4,Maroon
"1500 Oakley Seaver Dr., Clermont, FL",1500 Oakley Seaver Dr.,Clermont,FL,63,5226,3,Pink
"2083 9th St N. Unit 14, Naples, FL",2083 9th St N. Unit 14,Naples,FL,32,9107,4,Pink
"707 N. Alafaya Trail, Orlando, FL",707 N. Alafaya Trail,Orlando,FL,49,2889,6,Indigo
"2020 W Brandon Blvd, Brandon, FL",2020 W Brandon Blvd,Brandon,FL,47,5355,2,Puce
"1000 South Dale Mabry Hwy, Tampa, FL",1000 South Dale Mabry Hwy,Tampa,FL,51,9504,3,Aquamarine
"432 N. Orlando Ave, Winter Park, FL",432 N. Orlando Ave,Winter Park,FL,99,9164,5,Khaki
"3297 Greenwald Way North, Kissimmee, FL",3297 Greenwald Way North,Kissimmee,FL,34,1154,4,Turquoise
"5012 4th Street North, Saint Petersburg, FL",5012 4th Street North,Saint Petersburg,FL,88,5182,4,Violet
"11129 N Dale Mabry Hwy, Tampa, FL",11129 N Dale Mabry Hwy,Tampa,FL,42,70,4,Pink
"2351 E. Fowler Ave, Tampa, FL",2351 E. Fowler Ave,Tampa,FL,92,226,4,Puce
"1332 N. John Young Pkwy, Kissimmee, FL",1332 N. John Young Pkwy,Kissimmee,FL,32,5585,4,Crimson
"1812 N. Westshore Blvd., Tampa, FL",1812 N. Westshore Blvd.,Tampa,FL,50,8373,2,Aquamarine
"1107 3rd Street SW, Winter Haven, FL",1107 3rd Street SW,Winter Haven,FL,16,1837,4,Green
"2711 South Ferdon Blvd, Crestview, FL",2711 South Ferdon Blvd,Crestview,FL,22,4890,7,Indigo
"12805 Us Hwy 98 E, Rosemary Beach, FL",12805 Us Hwy 98 E,Rosemary Beach,FL,71,272,8,Orange
"34907 Emerald Coast Parkway, Destin, FL",34907 Emerald Coast Parkway,Destin,FL,32,9882,8,Turquoise
"4749 Hwy 90, Pace, FL",4749 Hwy 90,Pace,FL,89,5619,5,Pink
"425 Mary Esther Blvd., Mary Esther, FL",425 Mary Esther Blvd.,Mary Esther,FL,91,4942,7,Mauv
"5090 N. 9th Ave. Suite C, Pensacola, FL",5090 N. 9th Ave. Suite C,Pensacola,FL,56,8251,5,Pink
"6310 - 20th St., Vero Beach, FL",6310 - 20th St.,Vero Beach,FL,14,7320,7,Purple
"1395 NW Saint Lucie West Blvd, Port Saint Lucie, FL",1395 NW Saint Lucie West Blvd,Port Saint Lucie,FL,29,401,8,Puce
"2545 State Rd 7, Wellington, FL",2545 State Rd 7,Wellington,FL,36,576,5,Indigo
"3101 Pga Blvd, Palm Beach Gardens, FL",3101 Pga Blvd,Palm Beach Gardens,FL,9,9336,5,Goldenrod
"1880 N Congress Ave, Boynton Beach, FL",1880 N Congress Ave,Boynton Beach,FL,69,5292,9,Fuscia
"3005 Northlake Blvd, Palm Beach Gardens, FL",3005 Northlake Blvd,Palm Beach Gardens,FL,9,6842,4,Yellow
"520 Linton Blvd, Delray Beach, FL",520 Linton Blvd,Delray Beach,FL,73,7854,8,Crimson
"1862 Okeechobee Blvd, West Palm Beach, FL",1862 Okeechobee Blvd,West Palm Beach,FL,86,2560,5,Pink
"6286 W. Indiantown Rd., Jupiter, FL",6286 W. Indiantown Rd.,Jupiter,FL,25,8887,5,Indigo
"117 S State Road 7, Wellington, FL",117 S State Road 7,Wellington,FL,88,2242,1,Yellow
"100 N Magnolia Dr, Tallahassee, FL",100 N Magnolia Dr,Tallahassee,FL,80,5747,6,Khaki
"101 Bluefish Dr, Panama City Beach, FL",101 Bluefish Dr,Panama City Beach,FL,43,3172,7,Khaki
"2694 Highway 77, Panama City, FL",2694 Highway 77,Panama City,FL,76,4419,5,Teal
"1706 W. Tennessee St, Tallahassee, FL",1706 W. Tennessee St,Tallahassee,FL,46,8606,7,Purple
"2965 SW 160th Ave, Ste 160, Miramar, FL",2965 SW 160th Ave,Miramar,FL,29,6916,4,Khaki
