,Name,Address,City,State,Workers,Local,District,Contract,lon,lat
1372,"102 Bass Pro Drive, Harlingen, TX",102 Bass Pro Drive,Harlingen,TX,56,4370,2,Indigo,-97.7217102,26.1897563
1195,"11909 Domain Dr, Ste 130, Austin, TX",11909 Domain Dr,Austin,TX,96,5821,5,Orange,-97.7207275,30.4053374
1206,"5827 E Ben White Blvd, Austin, TX",5827 E Ben White Blvd,Austin,TX,67,9253,9,Goldenrod,-97.7172726,30.2122102
1213,"4405 Williams Dr., Georgetown, TX",4405 Williams Dr.,Georgetown,TX,20,8635,4,Aquamarine,-97.7156818,30.6826352
1212,"5407 North Ih 35, Austin, TX",5407 North Ih 35,Austin,TX,43,8154,7,Green,-97.7068361,30.3142809
1197,"1103 Rivery Blvd., Georgetown, TX",1103 Rivery Blvd.,Georgetown,TX,55,153,5,Green,-97.6888124,30.6455376
1211,"1611 Headway Cir, Austin, TX",1611 Headway Cir,Austin,TX,84,684,5,Red,-97.6819649,30.3336183
1203,"13000 N. Ih 35, Austin, TX",13000 N. Ih 35,Austin,TX,9,214,3,Teal,-97.6755623,30.4155932
1207,"2601 S Ih 35, Round Rock, TX",2601 S Ih 35,Round Rock,TX,41,5262,2,Crimson,-97.6704954,30.4846645
1283,"201 E Central Texas Expressway, Harker Heights, TX",201 E Central Texas Expressway,Harker Heights,TX,56,3394,4,Purple,-97.665831,31.072017
1174,"6959 Northwest Expressway, Oklahoma City, OK",6959 Northwest Expressway,Oklahoma City,OK,88,3601,7,Mauv,-97.6372207,35.5581836
1223,"13525 Northwest Blvd, Corpus Christi, TX",13525 Northwest Blvd,Corpus Christi,TX,83,7648,8,Khaki,-97.631524,27.8555496
1208,"9900 S. Ih-35 Service Rd Sb, Austin, TX",9900 S. Ih-35 Service Rd Sb,Austin,TX,71,9049,6,Teal,-97.6218852,30.7853216
1172,"500 South Macarthur, Oklahoma City, OK",500 South Macarthur,Oklahoma City,OK,15,5735,4,Pink,-97.6181148,35.4619993
1167,"3201 Quail Springs Pkwy, Oklahoma City, OK",3201 Quail Springs Pkwy,Oklahoma City,OK,24,6195,9,Indigo,-97.5753324,35.6158415
1175,"5325 North May Avenue, Oklahoma City, OK",5325 North May Avenue,Oklahoma City,OK,54,4214,5,Pink,-97.5664085,35.5248528
1247,"607 N Miller Blvd, Oklahoma City, OK",607 N Miller Blvd,Oklahoma City,OK,50,1077,2,Aquamarine,-97.5617945,35.4732902
1161,"2237 W. Memorial Rd, Oklahoma City, OK",2237 W. Memorial Rd,Oklahoma City,OK,45,3900,4,Green,-97.5532128,35.6109915
1164,"1413-c W. I-240 Service Rd., Oklahoma City, OK",1413-c W. I-240 Service Rd.,Oklahoma City,OK,89,4808,9,Indigo,-97.5389074,35.3916994
1173,"3800 S Douglas Ave, Oklahoma City, OK",3800 S Douglas Ave,Oklahoma City,OK,99,3534,6,Pink,-97.5342439,35.426961
1166,"111 Dean A Mcgee Ave, Oklahoma City, OK",111 Dean A Mcgee Ave,Oklahoma City,OK,78,2954,5,Blue,-97.5154598,35.4710393
1373,"4305 N. Expressway, Brownsville, TX",4305 N. Expressway,Brownsville,TX,73,3565,3,Red,-97.5130085,25.9672444
1170,"2003 West Danforth Road, Edmond, OK",2003 West Danforth Road,Edmond,OK,15,6547,5,Green,-97.5100456,35.6679965
1165,"2670 S Service Rd, Moore, OK",2670 S Service Rd,Moore,OK,84,3458,4,Puce,-97.4888156,35.3143235
1163,"1444 - 24th Ave NW, Norman, OK",1444 - 24th Ave NW,Norman,OK,16,9956,6,Orange,-97.4832338,35.236358
1171,"2351 W. Main, Norman, OK",2351 W. Main,Norman,OK,97,374,7,Puce,-97.4764063,35.2188237
1176,"1255 East Second St, Edmond, OK",1255 East Second St,Edmond,OK,3,716,8,Khaki,-97.463957,35.6539678
1435,"2404 N Maize Rd, Wichita, KS",2404 N Maize Rd,Wichita,KS,37,5771,6,Yellow,-97.461991,37.7265252
1255,"6358 Lake Worth Blvd., Fort Worth, TX",6358 Lake Worth Blvd.,Fort Worth,TX,43,2583,9,Puce,-97.4258582,32.810841
1262,"4801 Bryant Irvin Rd, Fort Worth, TX",4801 Bryant Irvin Rd,Fort Worth,TX,68,7125,8,Red,-97.4140343,32.6793133
1225,"3138 South Padre Island Drive, Corpus Christi, TX",3138 South Padre Island Drive,Corpus Christi,TX,16,2124,5,Mauv,-97.413174,27.7296744
1168,"7205 SE 29th St., Midwest City, OK",7205 SE 29th St.,Midwest City,OK,70,8700,4,Orange,-97.3997382,35.4357142
1281,"3809 S General Bruce Dr, Temple, TX",3809 S General Bruce Dr,Temple,TX,39,4695,8,Violet,-97.3876709,31.0883816
1264,"2834 S Hulen, Fort Worth, TX",2834 S Hulen,Fort Worth,TX,75,7578,9,Khaki,-97.387212,32.709996
1220,"5425 S. Padre Island Drive, Corpus Christi, TX",5425 S. Padre Island Drive,Corpus Christi,TX,19,5762,1,Mauv,-97.374612,27.7079428
1205,"747 Hwy 71 West, Bastrop, TX",747 Hwy 71 West,Bastrop,TX,23,8357,1,Mauv,-97.3537658,30.1120829
1483,"3401 Lucius Mccelvey Dr, Temple, TX",3401 Lucius Mccelvey Dr,Temple,TX,14,1149,1,Yellow,-97.3503898,31.1356721
1257,"1169 N. Burleson Blvd., Burleson, TX",1169 N. Burleson Blvd.,Burleson,TX,34,8272,4,Yellow,-97.3206883,32.5682706
1260,"6600 North Freeway, Fort Worth, TX",6600 North Freeway,Fort Worth,TX,42,7614,9,Pink,-97.3130541,32.8614221
1256,"8416 Denton Hwy, Watauga, TX",8416 Denton Hwy,Watauga,TX,28,1664,9,Yellow,-97.2583955,32.8925471
1438,"3300 N. Rock Rd., Wichita, KS",3300 N. Rock Rd.,Wichita,KS,95,2798,3,Yellow,-97.2439212,37.7425408
1437,"11611 E Kellogg Dr Suite 101, Wichita, KS",11611 E Kellogg Dr Suite 101,Wichita,KS,52,2806,5,Aquamarine,-97.2032379,37.6791669
1259,"980 Melborne, Hurst, TX",980 Melborne,Hurst,TX,5,3407,3,Fuscia,-97.1976754,32.8267437
1368,"4330 West Waco Dr, Waco, TX",4330 West Waco Dr,Waco,TX,52,9343,1,Maroon,-97.1710501,31.5258865
1310,"2520 W. University Dr., Denton, TX",2520 W. University Dr.,Denton,TX,15,7555,5,Indigo,-97.1658525,33.2302888
1142,"2240 12th Ave. NW, Ardmore, OK",2240 12th Ave. NW,Ardmore,OK,13,2728,5,Yellow,-97.1578992,34.1871523
1252,"1971 N. Us 287, Ste 113, Mansfield, TX",1971 N. Us 287,Mansfield,TX,68,8402,6,Goldenrod,-97.1481306,32.5956202
1265,"1431 E. Southlake Blvd Ste 511, Southlake, TX",1431 E. Southlake Blvd Ste 511,Southlake,TX,32,9737,4,Violet,-97.1304714,32.9405902
1294,"2305 West Interstate 20, Grand Prairie, TX",2305 West Interstate 20,Grand Prairie,TX,33,7823,3,Teal,-97.1257965,32.6773375
1481,"2901 Gholson Rd, Waco, TX",2901 Gholson Rd,Waco,TX,4,4596,8,Orange,-97.1202177,31.6052117
1309,"2304 S. Loop 288, Denton, TX",2304 S. Loop 288,Denton,TX,42,6522,7,Pink,-97.1071081,33.1877742
1253,"311 Interstate 20 E, Arlington, TX",311 Interstate 20 E,Arlington,TX,97,3333,5,Turquoise,-97.1067878,32.6791405
1254,"1002 N Collins St, Arlington, TX",1002 N Collins St,Arlington,TX,80,9134,5,Mauv,-97.0984473,32.750287
1261,"1401 William D Tate Ave Ste600, Grapevine, TX",1401 William D Tate Ave Ste600,Grapevine,TX,42,3115,8,Blue,-97.0874828,32.9258064
1246,"310 Himes Dr, Euless, TX",310 Himes Dr,Euless,TX,43,1922,7,Indigo,-97.0857379,32.841243
1297,"6161 Long Prairie Rd, Flower Mound, TX",6161 Long Prairie Rd,Flower Mound,TX,94,7318,3,Mauv,-97.0834339,33.0695588
1576,"3750 32nd Ave S Ste 105, Grand Forks, ND",3750 32nd Ave S Ste 105,Grand Forks,ND,5,5928,8,Puce,-97.0821785,47.8909122
1566,"1052 29th St, SE, Watertown, SD",1052 29th St,Watertown,SD,98,7501,2,Fuscia,-97.0673815,44.8877435
1155,"520 East Hall Of Fame, Stillwater, OK",520 East Hall Of Fame,Stillwater,OK,2,2951,8,Turquoise,-97.0521549,36.1273458
1226,"6308 Navarro St, Victoria, TX",6308 Navarro St,Victoria,TX,23,7800,5,Goldenrod,-96.9964913,28.8541028
1311,"2701 N Beltline Rd, Irving, TX",2701 N Beltline Rd,Irving,TX,70,6187,1,Indigo,-96.9929233,32.8437255
1317,"2397 Stemmons Freeway, Lewisville, TX",2397 Stemmons Freeway,Lewisville,TX,91,4423,5,Violet,-96.9733871,33.0063597
1286,"7800 N Macarthur Blvd, Ste 150, Irving, TX",7800 N Macarthur Blvd,Irving,TX,16,6337,1,Orange,-96.9580068,32.9130669
1295,"6000 Las Colinas Blvd, Irving, TX",6000 Las Colinas Blvd,Irving,TX,80,9857,3,Yellow,-96.9475797,32.8929083
1303,"352 N Highway 67, Cedar Hill, TX",352 N Highway 67,Cedar Hill,TX,79,7030,7,Puce,-96.9396372,32.5927078
1143,"502 Shawnee Mall Drive, Shawnee, OK",502 Shawnee Mall Drive,Shawnee,OK,82,1374,9,Blue,-96.9281675,35.3857331
1248,"2400 Lacy Ln, Carrollton, TX",2400 Lacy Ln,Carrollton,TX,50,2704,8,Mauv,-96.9265321,32.9220377
1298,"4331 Communications Dr, Dallas, TX",4331 Communications Dr,Dallas,TX,8,1873,8,Indigo,-96.8931626,32.7656769
1320,"4770 State Highway 121 Ste 170, Lewisville, TX",4770 State Highway 121 Ste 170,Lewisville,TX,83,4270,1,Aquamarine,-96.8860805,33.0658434
1300,"1701 Vantage Dr Ste 209, Carrollton, TX",1701 Vantage Dr Ste 209,Carrollton,TX,68,209,5,Green,-96.88146,32.9580824
1573,"4417 13th Ave S, Fargo, ND",4417 13th Ave S,Fargo,ND,73,208,8,Yellow,-96.8601126,46.862189
1539,"1447 44th St N, Fargo, ND",1447 44th St N,Fargo,ND,43,1307,1,Blue,-96.8590404,46.8966141
1316,"12021 Dallas Parkway Ste 500, Frisco, TX",12021 Dallas Parkway Ste 500,Frisco,TX,98,9440,1,Blue,-96.8411644,33.177936
1263,"1451 N Hwy 77, Waxahachie, TX",1451 N Hwy 77,Waxahachie,TX,11,254,2,Pink,-96.8402506,32.4263659
1249,"13900 Midway Rd, Farmers Branch, TX",13900 Midway Rd,Farmers Branch,TX,80,8502,7,Pink,-96.8383661,32.9388102
1289,"3300 Dallas Pkwy, Ste. 100, Plano, TX",3300 Dallas Pkwy,Plano,TX,16,5091,7,Pink,-96.8285261,33.0463228
1288,"1001 N. Beckley, Suite 614d, Desoto, TX",1001 N. Beckley,Desoto,TX,44,9016,3,Turquoise,-96.825051,32.6069888
1307,"5100 Belt Line Rd. Ste. 1032, Addison, TX",5100 Belt Line Rd. Ste. 1032,Addison,TX,28,6661,9,Teal,-96.8212385,32.9536629
1313,"3329 Oak Lawn Avenue, Dallas, TX",3329 Oak Lawn Avenue,Dallas,TX,42,7021,4,Khaki,-96.8071199,32.8111253
1318,"3551 Preston Rd, Frisco, TX",3551 Preston Rd,Frisco,TX,28,9646,8,Maroon,-96.8069041,33.1085166
1285,"5959 Royal Lane, Ste 777, Dallas, TX",5959 Royal Lane,Dallas,TX,10,5125,9,Purple,-96.8045812,32.8952108
1287,"308 S Akard Street, Suite 101, Dallas, TX",308 S Akard Street,Dallas,TX,90,4859,6,Yellow,-96.7989012,32.7788564
1290,"1101 S. Preston Rd., Ste 30, Prosper, TX",1101 S. Preston Rd.,Prosper,TX,8,7243,9,Goldenrod,-96.7974664,33.2238887
1301,"4100 Bryan St, Dallas, TX",4100 Bryan St,Dallas,TX,96,5499,3,Maroon,-96.7804437,32.7976336
1569,"3709 W 41st St Ste 1, Sioux Falls, SD",3709 W 41st St Ste 1,Sioux Falls,SD,33,8398,7,Green,-96.7727449,43.5143448
1315,"8687 N Central Expressway, Dallas, TX",8687 N Central Expressway,Dallas,TX,81,8694,2,Green,-96.7718582,32.8687357
1314,"9100 N. Central Expressway, Dallas, TX",9100 N. Central Expressway,Dallas,TX,91,1183,9,Aquamarine,-96.7689732,32.8725497
1570,"2800 W 10th St, Sioux Falls, SD",2800 W 10th St,Sioux Falls,SD,21,9495,9,Yellow,-96.763159,43.5463446
1568,"1224 W 41st St, Sioux Falls, SD",1224 W 41st St,Sioux Falls,SD,1,9385,6,Pink,-96.7409107,43.5154911
1304,"2270 Lakeside Blvd, Richardson, TX",2270 Lakeside Blvd,Richardson,TX,67,556,2,Orange,-96.7098873,32.9795608
1296,"701 N. Central Expy, Plano, TX",701 N. Central Expy,Plano,TX,5,6143,4,Yellow,-96.7090153,33.0095975
1291,"2180 N Glenville Dr, Richardson, TX",2180 N Glenville Dr,Richardson,TX,22,6286,5,Maroon,-96.7046691,32.9793497
1305,"2220 Campbell Creek Blvd, Richardson, TX",2220 Campbell Creek Blvd,Richardson,TX,5,6244,5,Purple,-96.700922,32.9778168
1299,"190 E. Stacy Road, Allen, TX",190 E. Stacy Road,Allen,TX,50,4914,2,Mauv,-96.6543653,33.1292231
1526,"4901 O Street, Suite 100, Lincoln, NE",4901 O Street,Lincoln,NE,65,3441,2,Orange,-96.6524118,40.8128971
1312,"5345 N Garland Ave, Garland, TX",5345 N Garland Ave,Garland,TX,68,3288,6,Goldenrod,-96.6444787,32.9644736
1321,"901 Northwest Hwy, Garland, TX",901 Northwest Hwy,Garland,TX,48,1012,8,Puce,-96.6425582,32.8618284
1292,"1681 N Central Expwy, Mckinney, TX",1681 N Central Expwy,Mckinney,TX,48,2464,3,Puce,-96.6380709,33.214224
1293,"1645 Town East Blvd, Mesquite, TX",1645 Town East Blvd,Mesquite,TX,71,6279,9,Crimson,-96.6231687,32.8112449
1319,"301 E. Hwy 82, Sherman, TX",301 E. Hwy 82,Sherman,TX,42,3682,4,Fuscia,-96.6138413,33.6720054
1441,"2620 Amherst Ave, Manhattan, KS",2620 Amherst Ave,Manhattan,KS,1,6374,4,Puce,-96.6046196,39.1843116
1306,"3460 W. Fm 544 Ste 500, Wylie, TX",3460 W. Fm 544 Ste 500,Wylie,TX,24,5627,2,Green,-96.5933133,33.0107252
1201,"5033a Us Hwy 290 W, Austin, TX",5033a Us Hwy 290 W,Austin,TX,33,3070,4,Red,-96.4712231,30.179194
1308,"2783 Ridge Rd, Rockwall, TX",2783 Ridge Rd,Rockwall,TX,36,4877,3,Goldenrod,-96.4693888,32.8959644
1362,"109 Hwy 290 West, Brenham, TX",109 Hwy 290 West,Brenham,TX,3,1655,3,Teal,-96.4011804,30.1445083
1528,"3200 Singing Hill Blvd, Sioux City, IA",3200 Singing Hill Blvd,Sioux City,IA,72,4235,4,Yellow,-96.3668821,42.43515
1532,"3200 Singing Hill Blvd, Sioux City, IA",3200 Singing Hill Blvd,Sioux City,IA,76,6304,5,Khaki,-96.3668821,42.43515
1345,"1801 Briarcrest, Bryan, TX",1801 Briarcrest,Bryan,TX,27,9278,1,Purple,-96.3367734,30.6555866
1325,"1505 Texas Ave S, Ste A, College Station, TX",1505 Texas Ave S,College Station,TX,86,6381,2,Violet,-96.3192843,30.6169206
1366,"917 William D Fitch Pkwy, College Station, TX",917 William D Fitch Pkwy,College Station,TX,54,7168,1,Purple,-96.2614512,30.5574352
1484,"306 N Houston St, Wharton, TX",306 N Houston St,Wharton,TX,73,8196,8,Turquoise,-96.0994081,29.3132841
1527,"7820 Dodge Street, Omaha, NE",7820 Dodge Street,Omaha,NE,73,47,5,Aquamarine,-96.0368817,41.2603949
1565,"2505 S 72nd St, Omaha, NE",2505 S 72nd St,Omaha,NE,55,5548,9,Puce,-96.0233416,41.2358488
1529,"9614 S. 71st Plaza, Papillion, NE",9614 S. 71st Plaza,Papillion,NE,3,8075,5,Turquoise,-96.0228868,41.1631233
1153,"7263 S Olympia Ave W, Tulsa, OK",7263 S Olympia Ave W,Tulsa,OK,53,9224,4,Khaki,-96.0037281,36.0590883
1159,"1404-a S Lewis, Tulsa, OK",1404-a S Lewis,Tulsa,OK,94,5812,3,Blue,-95.9586216,36.1422002
1564,"118 S 19th St, Omaha, NE",118 S 19th St,Omaha,NE,85,6696,7,Crimson,-95.9418919,41.2589928
1151,"2125 SE Washington Blvd, Bartlesville, OK",2125 SE Washington Blvd,Bartlesville,OK,35,9870,8,Khaki,-95.935646,36.7197205
1148,"5505 E 41st St, Tulsa, OK",5505 E 41st St,Tulsa,OK,51,5355,5,Yellow,-95.9147838,36.1047517
1415,"2029 S Sheridan Rd, Tulsa, OK",2029 S Sheridan Rd,Tulsa,OK,47,276,8,Khaki,-95.9025092,36.1346922
1147,"3802 S 79th East Ave, Tulsa, OK",3802 S 79th East Ave,Tulsa,OK,32,4295,7,Indigo,-95.8895566,36.1074953
1146,"7102 S. Memorial, Tulsa, OK",7102 S. Memorial,Tulsa,OK,44,5072,8,Blue,-95.8869581,36.0604346
1158,"10035 South Memorial Dr, Tulsa, OK",10035 South Memorial Dr,Tulsa,OK,32,3029,8,Orange,-95.8857564,36.0181774
1152,"9031 N 121st East Ave, Owasso, OK",9031 N 121st East Ave,Owasso,OK,42,912,3,Green,-95.8421896,36.2885312
1150,"15901 E Skelly Dr, Tulsa, OK",15901 E Skelly Dr,Tulsa,OK,74,9911,4,Green,-95.7999546,36.1643941
1478,"3115 Avenue J, Rosenberg, TX",3115 Avenue J,Rosenberg,TX,49,3957,7,Pink,-95.7948309,29.5563724
1154,"1200 E. Hillside Dr., Broken Arrow, OK",1200 E. Hillside Dr.,Broken Arrow,OK,5,9312,7,Blue,-95.7764429,36.0654673
1334,"5530 W. Grand Pkwy. South, Richmond, TX",5530 W. Grand Pkwy. South,Richmond,TX,90,8926,3,Goldenrod,-95.7729849,29.6930221
1364,"2727 Mercantile Dr., Rosenberg, TX",2727 Mercantile Dr.,Rosenberg,TX,32,6630,7,Yellow,-95.7571793,29.5441613
1365,"1505 S Mason Rd, Katy, TX",1505 S Mason Rd,Katy,TX,4,3638,1,Red,-95.7507595,29.7604525
1157,"433 S. George Nigh Expressway, Mcalester, OK",433 S. George Nigh Expressway,Mcalester,OK,95,3390,3,Puce,-95.7458833,34.9194818
1149,"1580 E Electric Ave, Mcalester, OK",1580 E Electric Ave,Mcalester,OK,15,5054,8,Teal,-95.7437287,34.9439892
1353,"19959 Katy Freeway, Houston, TX",19959 Katy Freeway,Houston,TX,42,2160,7,Khaki,-95.7168611,29.7819344
1434,"1622 NW Saline St, Topeka, KS",1622 NW Saline St,Topeka,KS,44,1522,1,Green,-95.7167377,39.0807136
1326,"14201 Cypress Rosehill Rd, 100, Cypress, TX",14201 Cypress Rosehill Rd,Cypress,TX,57,2795,6,Orange,-95.7000299,29.9745884
1349,"6595 Highway 6 North, Houston, TX",6595 Highway 6 North,Houston,TX,31,1779,6,Orange,-95.6458567,29.8737343
1350,"14002 Fm 2920 Suite A, Tomball, TX",14002 Fm 2920 Suite A,Tomball,TX,82,7023,4,Pink,-95.633432,30.0899089
1347,"13341 Westheimer Rd, Houston, TX",13341 Westheimer Rd,Houston,TX,86,5791,3,Goldenrod,-95.6258347,29.7353783
1344,"2191 Texas Dr, Sugar Land, TX",2191 Texas Dr,Sugar Land,TX,59,9120,4,Puce,-95.6209483,29.5973886
1339,"22521 Tomball Parkway, Houston, TX",22521 Tomball Parkway,Houston,TX,98,105,9,Indigo,-95.5905038,30.0111857
1363,"3006 Hwy 30 West, Huntsville, TX",3006 Hwy 30 West,Huntsville,TX,41,3832,7,Goldenrod,-95.5721112,30.7187054
1357,"6531 Fm 1488, Magnolia, TX",6531 Fm 1488,Magnolia,TX,56,7735,6,Mauv,-95.5647634,30.2214608
1355,"790 W. Sam Houston Pkwy N., Houston, TX",790 W. Sam Houston Pkwy N.,Houston,TX,50,9182,1,Orange,-95.562015,29.7784278
1342,"9700 Bissonnet St, Houston, TX",9700 Bissonnet St,Houston,TX,38,4579,1,Yellow,-95.5448305,29.6773518
1327,"6615 N. Grand Pkwy W., Ste 310, Spring, TX",6615 N. Grand Pkwy W.,Spring,TX,46,8767,6,Violet,-95.5212561,30.088633
1351,"8412 Katy Freeway, Houston, TX",8412 Katy Freeway,Houston,TX,97,101,5,Green,-95.4932661,29.7851283
1329,"2948 I-45 North, Conroe, TX",2948 I-45 North,Conroe,TX,33,3945,8,Mauv,-95.4821231,30.3467622
1332,"205 Hwy 332 West, Lake Jackson, TX",205 Hwy 332 West,Lake Jackson,TX,92,8833,9,Crimson,-95.4644091,29.0479412
1340,"232 Meyerland Plaza, Houston, TX",232 Meyerland Plaza,Houston,TX,30,9844,1,Fuscia,-95.4608465,29.6856378
1439,"20 S Steuben Ave, Chanute, KS",20 S Steuben Ave,Chanute,KS,37,6100,7,Turquoise,-95.4567723,37.6810165
1358,"1195 West Loop N, Houston, TX",1195 West Loop N,Houston,TX,93,6050,3,Teal,-95.4532745,29.7878974
1360,"28033 Ih 45 North, Spring, TX",28033 Ih 45 North,Spring,TX,99,4702,5,Mauv,-95.4519205,30.1695764
1341,"303 Sawdust Rd., The Woodlands, TX",303 Sawdust Rd.,The Woodlands,TX,49,8225,5,Khaki,-95.4467006,30.1263747
1324,"5514 Weslayan St., Unit 16, Houston, TX",5514 Weslayan St.,Houston,TX,96,2125,3,Yellow,-95.4421547,29.723169
1333,"19752 Ih45 North, Spring, TX",19752 Ih45 North,Spring,TX,5,7499,6,Aquamarine,-95.430007,30.0508508
1367,"415 W Crosstimbers St, Houston, TX",415 W Crosstimbers St,Houston,TX,35,8970,4,Orange,-95.4034982,29.8271399
1336,"4009 Dunlavy St, Houston, TX",4009 Dunlavy St,Houston,TX,69,7957,8,Blue,-95.4015632,29.7367645
1359,"1919 Taylor St. Ste A, Houston, TX",1919 Taylor St. Ste A,Houston,TX,33,3185,1,Blue,-95.3835672,29.7757423
1331,"10420 Broadway St., Pearland, TX",10420 Broadway St.,Pearland,TX,67,2110,6,Puce,-95.3822586,29.5553767
1356,"1407 Jefferson St, Houston, TX",1407 Jefferson St,Houston,TX,53,3030,8,Goldenrod,-95.3655359,29.7490975
1343,"7911 W. Fm 1960, Houston, TX",7911 W. Fm 1960,Houston,TX,88,8438,6,Blue,-95.3456696,29.831609
1156,"402 N York Street, Muskogee, OK",402 N York Street,Muskogee,OK,40,1487,3,Green,-95.3398683,35.7426948
1182,"8922 S Broadway Ave Ste 112, Tyler, TX",8922 S Broadway Ave Ste 112,Tyler,TX,61,40,5,Orange,-95.3077188,32.250748
1179,"4757 South Broadway Ave, Tyler, TX",4757 South Broadway Ave,Tyler,TX,62,6038,6,Green,-95.3017764,32.297032
1361,"19727 Highway 59 N, Humble, TX",19727 Highway 59 N,Humble,TX,17,4346,1,Green,-95.2701375,30.0038827
1426,"3310 Iowa St. Suite A, Lawrence, KS",3310 Iowa St. Suite A,Lawrence,KS,75,1355,8,Puce,-95.2599963,38.9242232
1328,"11971 N. Grand Pkwy E., Ste. 3, New Caney, TX",11971 N. Grand Pkwy E.,New Caney,TX,23,7631,2,Pink,-95.2347838,30.130837
1338,"11410 Gulf Fwy, Houston, TX",11410 Gulf Fwy,Houston,TX,57,419,3,Red,-95.2333358,29.6308381
1346,"4536 Kingwood Dr, Kingwood, TX",4536 Kingwood Dr,Kingwood,TX,44,2922,8,Crimson,-95.1823749,30.0485101
1354,"7025 Fm 1960 East, Humble, TX",7025 Fm 1960 East,Humble,TX,81,3273,6,Green,-95.1712919,29.9992831
1335,"15419-a Wallisville Rd, Houston, TX",15419-a Wallisville Rd,Houston,TX,39,4424,2,Maroon,-95.1644272,29.8094026
1330,"5708 Fairmont Parkway, Pasadena, TX",5708 Fairmont Parkway,Pasadena,TX,44,7053,1,Violet,-95.1548139,29.6477893
1479,"310 E. Illinois, Vinita, OK",310 E. Illinois,Vinita,OK,6,7407,9,Green,-95.1515556,36.6379668
1337,"1333 W. Bay Area Blvd, Webster, TX",1333 W. Bay Area Blvd,Webster,TX,10,5386,6,Violet,-95.1438177,29.538734
1323,"209 E Crockett St, Cleveland, TX",209 E Crockett St,Cleveland,TX,92,2448,2,Aquamarine,-95.0865808,30.3431483
1348,"1660 Fm 646 Rd W Ste A, Dickinson, TX",1660 Fm 646 Rd W Ste A,Dickinson,TX,50,9815,8,Mauv,-95.0864276,29.468081
1352,"4868 Garth Rd. Ste B, Baytown, TX",4868 Garth Rd. Ste B,Baytown,TX,94,9521,9,Indigo,-94.977263,29.7756983
1424,"1140 Eisenhower Rd, Leavenworth, KS",1140 Eisenhower Rd,Leavenworth,KS,93,2622,7,Fuscia,-94.9305084,39.2670308
1428,"320 N 10th St, Saint Joseph, MO",320 N 10th St,Saint Joseph,MO,92,6015,4,Violet,-94.8485797,39.7687011
1419,"10620 Parallel Parkway, Kansas City, KS",10620 Parallel Parkway,Kansas City,KS,55,8064,1,Fuscia,-94.8256299,39.1289997
1425,"5107 N. Belt Highway, Saint Joseph, MO",5107 N. Belt Highway,Saint Joseph,MO,45,2837,1,Pink,-94.8135912,39.813664
1427,"10636 Lackman Rd, Lenexa, KS",10636 Lackman Rd,Lenexa,KS,9,5273,9,Yellow,-94.761085,38.9351338
1422,"11971 S Blackbob Rd, Olathe, KS",11971 S Blackbob Rd,Olathe,KS,83,913,9,Khaki,-94.7605635,38.911096
1181,"109 W Loop 281, Longview, TX",109 W Loop 281,Longview,TX,40,5896,3,Purple,-94.7489774,32.5427027
1183,"301 W Whaley St, Longview, TX",301 W Whaley St,Longview,TX,7,1867,5,Blue,-94.7425485,32.4993298
1180,"3407 N. 4th Street, Longview, TX",3407 N. 4th Street,Longview,TX,37,2035,4,Goldenrod,-94.7318354,32.54564
1322,"1905 Tulane Drive, Lufkin, TX",1905 Tulane Drive,Lufkin,TX,23,9810,7,Mauv,-94.7208818,31.3102573
1418,"7801 Farley St, Overland Park, KS",7801 Farley St,Overland Park,KS,35,4679,1,Red,-94.6984157,38.9873912
1430,"8801 Johnson Dr, Merriam, KS",8801 Johnson Dr,Merriam,KS,36,9204,4,Puce,-94.6883574,39.0219824
1416,"6615 W 135th Street, Overland Park, KS",6615 W 135th Street,Overland Park,KS,14,7949,8,Purple,-94.6615452,38.8833268
1429,"8454 NW Prairie View Rd, Kansas City, MO",8454 NW Prairie View Rd,Kansas City,MO,66,6996,3,Crimson,-94.6614273,39.2485476
1431,"4015 Mill Street, Kansas City, MO",4015 Mill Street,Kansas City,MO,38,7580,8,Fuscia,-94.5945488,39.0544301
1417,"8026 E 171st, Belton, MO",8026 E 171st,Belton,MO,59,2967,5,Indigo,-94.497884,38.813457
1402,"4001 Richard Joseph Blvd, Joplin, MO",4001 Richard Joseph Blvd,Joplin,MO,90,1865,5,Khaki,-94.4899164,37.0448248
1399,"1702 S Range Line Rd, Joplin, MO",1702 S Range Line Rd,Joplin,MO,99,5074,4,Goldenrod,-94.4784471,37.0716206
1421,"9150 NE Barry Rd, Kansas City, MO",9150 NE Barry Rd,Kansas City,MO,5,4371,9,Crimson,-94.4661971,39.2455636
1560,"1023 East Blue Earth Ave, Fairmont, MN",1023 East Blue Earth Ave,Fairmont,MN,88,5590,2,Pink,-94.4478973,43.65242
1420,"635 NW Murray Road, Lees Summit, MO",635 NW Murray Road,Lees Summit,MO,83,3775,2,Blue,-94.4055305,38.9254135
1445,"3200 Kennedy Ct, Fort Smith, AR",3200 Kennedy Ct,Fort Smith,AR,32,3584,8,Khaki,-94.3994435,35.3247984
1423,"16900 E Us Highway 40, Independence, MO",16900 E Us Highway 40,Independence,MO,16,7061,5,Green,-94.3808454,39.0348475
1448,"7110 Rogers Ave Ste 100, Fort Smith, AR",7110 Rogers Ave Ste 100,Fort Smith,AR,93,4680,1,Goldenrod,-94.3536085,35.3536669
